name,processor,operating_sys,RAM_GB,RAM_Type,Storage_GB,Storage_Type,Display_cm,Display_inch,Warranty_Years,Price
Lenovo Legion 5 Pro Ryzen 7 Octa Core 6800H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,AMD Ryzen 7 Octa Core Processor,Windows 11 Operating System,32,DDR5,1024,SSD,103.23,,3,189990
ASUS ROG Zephyrus G15 Ryzen 9 Octa Core 6900HS - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,AMD Ryzen 9 Octa Core Processor,64 bit Windows 11 Operating System,16,DDR5,1024,SSD,39.62,15.6,1,189990
MSI Core i7 13th Gen - (32 GB/1 TB SSD/Windows 11 Home) Summit E16Flip A13VET-068IN Laptop,Intel Core i7 Processor (13th Gen),Windows 11 Operating System,32,LPDDR5,1024,SSD,40.64,16,2,189990
ALIENWARE Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce GTX 1660 T...,NVIDIA GeForce GTX 1660 Ti,Alienware Cryo-tech thermal technology to keep the system cool and running at highest performance,,,,,,,,188490
ASUS ROG Strix G15 (2022) with 90Whr Battery Ryzen 9 Octa Core 6900HX - (16 GB/1 TB SSD/Windows 11 Hom...,AMD Ryzen 9 Octa Core Processor,64 bit Windows 11 Operating System,16,DDR4,1024,SSD,39.62,15.6,1,187190
DELL Alienware Ryzen 7 Hexa Core 6800H - (16 GB/1 TB HDD/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,AMD Ryzen 7 Hexa Core Processor,64 bit Windows 11 Operating System,16,DDR5,1024,SSD,39.62,15.6,1,186990
Lenovo Legion 7i Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 2...,Intel Core i7 Processor (10th Gen),64 bit Windows 10 Operating System,16,DDR4,1024,SSD,39.62,15.6,,183490
ASUS ROG Flow Z13 (2022) Core i9 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,Intel Core i9 Processor (12th Gen),64 bit Windows 11 Operating System,16,LPDDR5,1024,SSD,34.04,13.4,1,181990
MSI GP76 Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 3070/240 ...,Pre-installed Genuine Windows 10 Home OS,16 GB DDR4 RAM,,,,,,,,180990
Lenovo Legion 5 Pro Ryzen 7 Octa Core 5800H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,AMD Ryzen 7 Octa Core Processor,Windows 11 Operating System,32,DDR4,1024,SSD,40.64,16,3,179990
